Project,Coverage > -95dBm (%),Coverage > -100dBm (%),Num_Transmitters,Reward,Output_File
libya_tile_square_centroid_105_458,93.47319793701172,93.47319793701172,20,"tensor(0.5930, device='cuda:0')",polygon_data\libya_tile_square_centroid_105_458\deployed_transmitters_20250903_061009.csv
libya_tile_square_centroid_105_459,91.78144836425781,91.78144836425781,17,"tensor(0.5086, device='cuda:0')",polygon_data\libya_tile_square_centroid_105_459\deployed_transmitters_20250903_061010.csv
libya_tile_square_centroid_105_460,91.80441284179688,91.80441284179688,14,"tensor(0.4840, device='cuda:0')",polygon_data\libya_tile_square_centroid_105_460\deployed_transmitters_20250903_061010.csv
libya_tile_square_centroid_105_461,95.00592041015625,95.00592041015625,22,"tensor(0.6150, device='cuda:0')",polygon_data\libya_tile_square_centroid_105_461\deployed_transmitters_20250903_061010.csv
libya_tile_square_centroid_105_462,91.78144836425781,91.78144836425781,14,"tensor(0.3506, device='cuda:0')",polygon_data\libya_tile_square_centroid_105_462\deployed_transmitters_20250903_061010.csv
libya_tile_square_centroid_105_463,91.78144836425781,91.78144836425781,15,"tensor(0.5201, device='cuda:0')",polygon_data\libya_tile_square_centroid_105_463\deployed_transmitters_20250903_061010.csv
libya_tile_square_centroid_105_464,94.91123962402344,94.91123962402344,19,"tensor(0.5350, device='cuda:0')",polygon_data\libya_tile_square_centroid_105_464\deployed_transmitters_20250903_061010.csv
libya_tile_square_centroid_105_465,93.28671264648438,93.28671264648438,22,"tensor(0.5982, device='cuda:0')",polygon_data\libya_tile_square_centroid_105_465\deployed_transmitters_20250903_061011.csv
libya_tile_square_centroid_105_466,91.8503189086914,91.8503189086914,16,"tensor(0.5792, device='cuda:0')",polygon_data\libya_tile_square_centroid_105_466\deployed_transmitters_20250903_061011.csv
libya_tile_square_centroid_105_467,91.919189453125,91.919189453125,16,"tensor(0.4318, device='cuda:0')",polygon_data\libya_tile_square_centroid_105_467\deployed_transmitters_20250903_061011.csv
libya_tile_square_centroid_106_132,94.8875732421875,94.8875732421875,25,"tensor(0.7971, device='cuda:0')",polygon_data\libya_tile_square_centroid_106_132\deployed_transmitters_20250903_061011.csv
libya_tile_square_centroid_106_402,93.56643676757812,93.56643676757812,21,"tensor(0.6543, device='cuda:0')",polygon_data\libya_tile_square_centroid_106_402\deployed_transmitters_20250903_061012.csv
libya_tile_square_centroid_106_403,91.8503189086914,91.8503189086914,14,"tensor(0.4711, device='cuda:0')",polygon_data\libya_tile_square_centroid_106_403\deployed_transmitters_20250903_061013.csv
